what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832063901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832076882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832083328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832084891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832088906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832090488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832100076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832119490
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1583832119500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1583832119500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832123872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832125416
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583832130721
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583832133988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832233309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832234904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832239583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832240952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832248725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832259537
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1583832259547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1583832259547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832263929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832265971
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1583832265982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1583832265983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832275572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832277099
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583832279591
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1583832281353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583832282452
executed,command,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.commands.runCodanCommand",1583832287089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583832293324
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1583832293894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583832301037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583832304893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583833464042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583833464215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583833465561
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583833465851
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1583833466198
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1583833466198
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1583833466198
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1583833467194
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1583833467199
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1583833467199
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1583833467199
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1583833467200
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1583833467200
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1583833467213
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1583833467213
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1583833467213
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1583833467221
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1583833467245
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1583833467245
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1583833467245
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1583833467257
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1583833467257
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1583833467257
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1583833467257
