what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584160335818
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584160335818
java.specification.name,sysinfo,,,"Java Platform API Specification",1584160335818
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584160335818
java.specification.version,sysinfo,,,"1.6",1584160335818
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584160335818
java.version,sysinfo,,,"1.6.0_23",1584160335818
java.vm.info,sysinfo,,,"mixed mode",1584160335818
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584160335818
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584160335818
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584160335818
java.vm.specification.version,sysinfo,,,"1.0",1584160335818
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584160335818
java.vm.version,sysinfo,,,"19.0-b09",1584160335818
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1584160335989
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1584160337185
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584160339810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1584160340467
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1584160340510
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1584160341645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584160365098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584160383733
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1584160383803
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584160383860
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1584160383988
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1584160384118
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1584160384118
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1584160389634
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1584160389634
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1584160389635
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1584160389635
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1584160389636
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1584160389636
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1584160389637
